Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000325,Female,Yes,2,Graduate,Yes,9771,2886,147,180,1.0,Semiurban,Y
LP000326,Male,Yes,2,Graduate,No,4231,1580,187,360,1.0,Urban,Y
LP000327,Male,Yes,0,Graduate,No,4662,968,111,360,1.0,Semiurban,Y
LP000328,Male,Yes,0,Graduate,No,6153,1254,164,360,1.0,Rural,Y
LP000329,Male,No,1,Graduate,No,8819,2485,162,360,1.0,Urban,Y
LP000330,Male,No,0,Graduate,No,7278,1923,41,360,1.0,Urban,Y
LP000331,Male,Yes,2,Graduate,No,6312,849,255,360,1.0,Rural,Y
LP000332,Male,Yes,3+,Not Graduate,No,6419,1534,215,360,1.0,Urban,Y
LP000333,Male,Yes,0,Graduate,No,5495,1925,123,180,1.0,Rural,Y
LP000334,Male,No,0,Not Graduate,No,6627,0,84,360,1.0,Semiurban,Y
LP000335,Male,No,2,Graduate,No,150,2533,164,360,1.0,Semiurban,N
LP000336,Male,Yes,0,Graduate,No,4747,232,149,180,1.0,Urban,Y
LP000337,Female,Yes,2,Graduate,No,5930,0,164,360,1.0,Rural,Y
LP000338,Male,No,0,Graduate,No,2867,0,155,360,1.0,Semiurban,N
LP000339,Male,Yes,1,Graduate,No,6249,0,172,360,1.0,Semiurban,Y
LP000340,Male,No,0,Graduate,No,4950,0,224,120,0.0,Semiurban,N
LP000341,Male,Yes,1,Graduate,Yes,9262,665,176,120,1.0,Rural,Y
LP000342,Male,Yes,0,Graduate,No,8860,4925,87,360,1.0,Rural,Y
LP000343,Male,Yes,1,Graduate,No,4375,958,219,180,1.0,Semiurban,Y
LP000344,Male,Yes,0,Not Graduate,No,5068,2084,235,360,0.0,Semiurban,N
LP000345,Male,Yes,1,Not Graduate,No,5237,2440,318,180,1.0,Rural,Y
LP000346,Male,No,2,Not Graduate,No,4406,2009,83,180,1.0,Semiurban,Y
LP000347,Male,Yes,0,Not Graduate,No,5829,1676,158,180,1.0,Urban,Y
LP000348,Male,Yes,0,Graduate,No,3731,0,30,360,1.0,Urban,Y
LP000349,Male,Yes,0,Graduate,No,2912,4121,175,360,1.0,Rural,Y
LP000350,Male,Yes,1,Not Graduate,No,6769,4691,114,360,1.0,Semiurban,Y
LP000351,Male,Yes,1,Graduate,No,6784,0,250,120,0.0,Semiurban,N
LP000352,Female,Yes,1,Graduate,No,3630,161,102,180,0.0,Semiurban,N
LP000353,Male,No,0,Graduate,No,7369,1352,52,120,1.0,Urban,Y
LP000354,Male,Yes,0,Graduate,No,4010,256,119,60,1.0,Semiurban,Y
LP000355,Male,Yes,1,Graduate,No,5956,2609,36,360,0.0,Urban,N
LP000356,Male,Yes,0,Not Graduate,No,7204,634,186,180,1.0,Semiurban,Y
LP000357,Male,No,3+,Graduate,No,5326,5264,31,180,1.0,Semiurban,Y
LP000358,Male,No,0,Graduate,No,6400,3704,146,60,1.0,Semiurban,Y
LP000359,Female,No,1,Not Graduate,No,4263,2140,30,60,1.0,Rural,Y
LP000360,Male,Yes,0,Graduate,No,4967,3443,127,180,1.0,Rural,Y
LP000361,Male,Yes,0,Graduate,No,4947,3569,235,360,1.0,Rural,Y
LP000362,Male,Yes,1,Graduate,Yes,3757,897,164,180,1.0,Urban,Y
LP000363,Male,Yes,1,Not Graduate,Yes,5011,494,97,360,1.0,Urban,Y
LP000364,Male,Yes,3+,Not Graduate,No,1993,1925,143,180,1.0,Semiurban,N
LP000365,Female,Yes,0,Graduate,No,4319,3178,145,120,1.0,Rural,Y
LP000366,Male,Yes,0,Not Graduate,No,4773,2022,170,360,0.0,Rural,N
LP000367,Female,Yes,1,Graduate,No,4836,0,69,180,1.0,Rural,Y
LP000368,Female,No,1,Not Graduate,No,4868,515,177,360,1.0,Urban,Y
LP000369,Male,Yes,0,Not Graduate,No,5264,1681,9,360,0.0,Semiurban,N
LP000370,Male,Yes,0,Not Graduate,No,6454,1678,110,360,0.0,Semiurban,N
LP000371,Male,No,0,Graduate,No,7323,4956,118,180,1.0,Urban,Y
LP000372,Male,Yes,2,Not Graduate,Yes,3970,0,179,120,1.0,Urban,N
LP000373,Male,No,0,Not Graduate,No,2752,2608,146,120,1.0,Rural,Y
LP000374,Male,Yes,0,Graduate,Yes,3107,4182,67,360,0.0,Urban,N
LP000375,Male,Yes,0,Not Graduate,No,4328,5434,90,120,0.0,Urban,N
LP000376,Male,No,0,Graduate,No,4625,1152,155,180,0.0,Urban,N
LP000377,Female,No,0,Not Graduate,Yes,3706,2586,140,360,1.0,Rural,Y
LP000378,Male,No,1,Graduate,No,2548,2711,113,360,1.0,Semiurban,Y
LP000379,Female,Yes,0,Not Graduate,No,4396,2112,118,360,1.0,Semiurban,Y
LP000380,Male,Yes,2,Graduate,No,5799,1641,183,120,1.0,Rural,Y
LP000381,Male,Yes,0,Graduate,No,6709,2497,116,180,1.0,Urban,Y
LP000382,Male,Yes,1,Graduate,Yes,4173,0,140,180,1.0,Semiurban,Y
LP000383,Male,No,2,Graduate,No,4491,2891,264,360,1.0,Urban,Y
LP000384,Female,Yes,1,Graduate,No,3361,2001,66,180,1.0,Urban,Y
LP000385,Male,No,1,Graduate,No,5330,1444,43,360,1.0,Rural,Y
LP000386,Female,Yes,0,Graduate,No,3533,5074,188,360,1.0,Rural,Y
LP000387,Male,Yes,0,Graduate,No,6660,720,107,180,1.0,Semiurban,Y
LP000388,Male,Yes,1,Graduate,No,1471,1155,127,360,1.0,Semiurban,N
LP000389,Male,No,3+,Not Graduate,No,4608,4986,102,120,1.0,Semiurban,Y
LP000390,Female,No,1,Graduate,No,6062,468,130,360,1.0,Urban,Y
LP000391,Female,No,1,Not Graduate,No,5804,919,232,180,0.0,Urban,N
LP000392,Male,No,1,Not Graduate,No,11324,1564,189,360,1.0,Urban,Y
LP000393,Male,No,0,Graduate,No,6169,3145,192,180,1.0,Urban,Y
LP000394,Male,No,0,Graduate,No,3191,2132,67,360,1.0,Rural,Y
LP000395,Male,Yes,1,Not Graduate,No,5189,0,81,360,1.0,Urban,Y
LP000396,Female,Yes,3+,Graduate,No,1492,948,9,120,0.0,Urban,N
LP000397,Female,Yes,0,Graduate,No,5222,828,100,360,1.0,Semiurban,Y
LP000398,Male,No,1,Graduate,No,3567,1676,197,120,0.0,Rural,N
LP000399,Male,No,0,Not Graduate,Yes,7413,2481,173,60,1.0,Urban,Y
LP000400,Male,Yes,1,Graduate,No,4191,2469,132,360,0.0,Urban,N
LP000401,Male,No,0,Graduate,No,5143,0,143,360,1.0,Semiurban,Y
LP000402,Female,No,0,Not Graduate,Yes,4001,3502,107,180,0.0,Rural,N
LP000403,Male,Yes,2,Not Graduate,Yes,9225,2204,156,60,1.0,Semiurban,Y
LP000404,Female,Yes,0,Graduate,No,4693,4015,187,120,1.0,Rural,Y
LP000405,Male,No,1,Graduate,No,9431,2510,56,360,1.0,Rural,Y
LP000406,Female,Yes,2,Not Graduate,No,7191,3562,161,180,0.0,Rural,N
LP000407,Male,No,3+,Graduate,No,6460,2546,196,360,1.0,Semiurban,Y
LP000408,Male,Yes,0,Graduate,No,6211,3953,122,60,1.0,Semiurban,Y
LP000409,Female,No,0,Graduate,No,6266,2635,183,60,0.0,Urban,N
LP000410,Male,No,0,Not Graduate,No,1159,1643,299,360,1.0,Rural,N
LP000411,Male,No,3+,Graduate,No,4786,5435,139,360,1.0,Semiurban,Y
LP000412,Female,Yes,3+,Not Graduate,No,7259,3222,166,360,1.0,Urban,Y
LP000413,Female,No,1,Not Graduate,No,5292,2717,104,360,1.0,Semiurban,Y
LP000414,Male,No,2,Graduate,No,2308,0,154,120,0.0,Urban,N
LP000415,Male,Yes,1,Graduate,No,5284,0,170,360,1.0,Semiurban,Y
LP000416,Male,No,1,Graduate,No,9149,2268,155,360,1.0,Semiurban,Y
LP000417,Male,Yes,0,Graduate,No,8143,2032,88,360,0.0,Semiurban,N
LP000418,Male,Yes,2,Graduate,No,5263,817,156,60,1.0,Rural,Y
LP000419,Male,Yes,0,Not Graduate,No,7493,2025,225,180,1.0,Urban,Y
LP000420,Male,Yes,2,Graduate,No,4593,4341,169,360,1.0,Semiurban,Y
LP000421,Male,Yes,2,Not Graduate,No,1651,2912,197,360,1.0,Semiurban,Y
LP000422,Male,No,1,Graduate,No,3366,0,131,60,1.0,Semiurban,Y
LP000423,Male,Yes,0,Graduate,No,8838,1621,186,120,0.0,Rural,N
LP000424,Male,No,0,Graduate,No,4797,512,160,360,1.0,Semiurban,Y
LP000425,Male,Yes,0,Graduate,No,4864,1179,92,360,1.0,Semiurban,Y
LP000426,Male,Yes,0,Not Graduate,No,4740,1138,162,360,1.0,Urban,Y
LP000427,Male,Yes,0,Graduate,No,9589,1035,90,360,1.0,Rural,Y
LP000428,Female,No,3+,Graduate,Yes,8977,0,110,180,0.0,Semiurban,N
LP000429,Male,Yes,1,Graduate,Yes,10281,1595,155,120,0.0,Rural,N
LP000430,Male,Yes,0,Graduate,No,5050,903,161,360,1.0,Urban,Y
LP000431,Male,No,0,Graduate,No,6050,0,79,120,1.0,Urban,Y
LP000432,Male,Yes,0,Graduate,No,2063,5084,202,360,1.0,Semiurban,Y
LP000433,Male,Yes,1,Not Graduate,No,8649,3542,176,180,1.0,Rural,Y
LP000434,Male,Yes,1,Graduate,No,2830,1197,106,180,1.0,Semiurban,Y
LP000435,Male,No,3+,Not Graduate,No,5876,1830,60,360,1.0,Rural,Y
LP000436,Male,Yes,0,Graduate,No,2985,0,137,360,1.0,Semiurban,N
LP000437,Male,No,3+,Graduate,No,4104,4513,120,180,1.0,Semiurban,Y
LP000438,Female,Yes,2,Graduate,No,3558,4835,151,360,1.0,Urban,Y
LP000439,Male,No,0,Graduate,No,4062,2050,125,360,1.0,Rural,Y
LP000440,Male,No,3+,Graduate,No,4213,3437,34,360,1.0,Urban,Y
LP000441,Male,No,0,Graduate,No,4193,2080,123,60,1.0,Rural,Y
LP000442,Female,Yes,2,Graduate,No,7233,0,128,360,1.0,Rural,Y
LP000443,Male,No,0,Graduate,No,2969,1141,179,120,0.0,Rural,N
LP000444,Male,Yes,2,Graduate,Yes,5885,2011,106,360,1.0,Semiurban,Y
LP000445,Female,Yes,2,Not Graduate,Yes,8079,1072,237,180,1.0,Semiurban,Y
LP000446,Female,Yes,2,Graduate,No,4270,1450,39,180,1.0,Rural,Y
LP000447,Female,No,2,Graduate,Yes,3820,1653,217,120,0.0,Urban,N
LP000448,Male,No,0,Graduate,No,4892,1670,132,360,0.0,Semiurban,N
LP000449,Male,No,0,Graduate,No,7995,1883,192,180,1.0,Urban,Y
LP000450,Male,Yes,0,Graduate,Yes,5827,103,149,180,1.0,Semiurban,Y
LP000451,Male,Yes,0,Graduate,No,4231,652,207,360,0.0,Urban,N
LP000452,Male,No,1,Graduate,No,6464,0,123,360,1.0,Urban,Y
LP000453,Male,Yes,0,Graduate,No,2974,3364,84,360,1.0,Semiurban,Y
LP000454,Female,Yes,3+,Graduate,No,6898,0,223,360,1.0,Semiurban,Y
LP000455,Male,Yes,1,Graduate,No,6298,3645,138,120,1.0,Semiurban,Y
LP000456,Male,Yes,2,Graduate,Yes,4722,4018,157,360,1.0,Urban,Y
LP000457,Male,Yes,0,Graduate,No,3555,1316,212,360,1.0,Semiurban,Y
LP000458,Male,Yes,2,Graduate,No,3449,0,88,180,1.0,Urban,Y
LP000459,Male,Yes,3+,Not Graduate,No,6576,1221,177,360,0.0,Semiurban,N
LP000460,Male,Yes,0,Graduate,No,8103,1697,112,360,1.0,Semiurban,Y
LP000461,Male,No,1,Graduate,No,3997,183,137,360,0.0,Semiurban,N
LP000462,Male,Yes,2,Graduate,No,6408,975,148,60,1.0,Rural,Y
LP000463,Male,Yes,0,Not Graduate,No,808,4248,62,120,1.0,Urban,Y
LP000464,Male,No,1,Graduate,No,4113,2863,102,120,1.0,Rural,Y
LP000465,Female,Yes,0,Graduate,No,5331,320,219,360,0.0,Semiurban,N
LP000466,Male,No,0,Graduate,No,3398,0,193,180,1.0,Semiurban,Y
LP000467,Male,No,0,Graduate,No,3339,1276,141,360,1.0,Semiurban,Y
LP000468,Female,Yes,0,Graduate,No,3930,1458,158,360,0.0,Urban,N
LP000469,Male,Yes,0,Graduate,No,6042,2593,128,360,1.0,Semiurban,Y
LP000470,Female,No,0,Not Graduate,No,4987,943,219,180,0.0,Semiurban,N
LP000471,Male,No,3+,Graduate,No,475,2618,133,360,1.0,Urban,Y
LP000472,Female,Yes,1,Not Graduate,No,734,4896,157,360,0.0,Urban,N
LP000473,Male,Yes,3+,Not Graduate,No,4064,3104,208,360,1.0,Urban,Y
LP000474,Female,Yes,0,Graduate,No,6406,1723,102,360,1.0,Rural,Y
LP000475,Male,No,0,Graduate,No,150,1506,230,180,1.0,Semiurban,N
LP000476,Female,Yes,1,Graduate,No,4300,1229,60,360,1.0,Urban,Y
LP000477,Male,No,0,Graduate,Yes,4242,3689,234,180,1.0,Semiurban,Y
LP000478,Male,Yes,0,Graduate,No,8454,796,124,360,1.0,Semiurban,Y
LP000479,Female,Yes,1,Not Graduate,No,4552,1872,131,120,1.0,Rural,Y
LP000480,Male,Yes,0,Not Graduate,No,6242,1881,41,180,1.0,Urban,Y
LP000481,Male,Yes,1,Graduate,No,5710,997,119,360,1.0,Urban,Y
LP000482,Male,Yes,1,Graduate,No,712,0,87,360,1.0,Rural,N
LP000483,Male,Yes,0,Not Graduate,No,7090,2316,111,180,0.0,Urban,N
LP000484,Male,Yes,0,Not Graduate,Yes,5873,1702,137,120,1.0,Urban,Y
LP000485,Male,No,2,Not Graduate,No,6518,2600,197,360,1.0,Rural,Y
LP000486,Female,Yes,0,Graduate,No,14037,946,156,360,1.0,Semiurban,Y
LP000487,Male,Yes,0,Graduate,No,814,3753,161,120,1.0,Urban,Y
LP000488,Male,No,3+,Graduate,No,9194,397,84,180,1.0,Urban,Y
LP000489,Female,No,0,Graduate,No,4767,4539,96,360,1.0,Urban,Y
LP000490,Female,No,1,Graduate,Yes,6032,0,243,360,1.0,Urban,Y
LP000491,Male,No,3+,Graduate,No,5299,2495,104,360,0.0,Rural,N
LP000492,Male,Yes,0,Graduate,No,4466,2560,236,180,1.0,Semiurban,Y
LP000493,Male,Yes,0,Graduate,No,4146,527,131,360,1.0,Rural,Y
LP000494,Male,No,0,Graduate,No,6124,2479,145,60,1.0,Rural,Y
LP000495,Male,No,0,Graduate,No,2062,3847,203,360,1.0,Semiurban,Y
LP000496,Male,Yes,0,Graduate,No,7051,0,214,360,1.0,Urban,Y
LP000497,Male,No,1,Graduate,No,4484,2604,138,180,1.0,Semiurban,Y
LP000498,Male,Yes,0,Graduate,No,2913,0,123,120,1.0,Rural,N
LP000499,Female,Yes,1,Not Graduate,No,4409,254,141,120,1.0,Rural,N
LP000500,Female,Yes,3+,Graduate,No,8165,4406,163,360,1.0,Urban,Y
LP000501,Male,Yes,2,Graduate,No,4222,869,194,180,1.0,Semiurban,Y
LP000502,Male,Yes,1,Graduate,No,6188,0,145,180,1.0,Semiurban,Y
LP000503,Male,Yes,0,Not Graduate,No,3791,1483,179,360,1.0,Rural,Y
LP000504,Female,No,1,Graduate,No,7067,5108,235,360,0.0,Urban,N
LP000505,Male,Yes,1,Graduate,No,6908,0,165,360,0.0,Semiurban,N
LP000506,Male,Yes,0,Graduate,No,9466,117,162,360,1.0,Rural,Y
LP000507,Female,No,0,Graduate,No,5013,4195,61,120,1.0,Semiurban,Y
LP000508,Female,No,2,Graduate,No,6871,4772,9,360,1.0,Semiurban,Y
LP000509,Female,No,0,Graduate,No,5615,1634,166,60,0.0,Urban,N
LP000510,Male,No,0,Not Graduate,No,8250,0,139,360,1.0,Urban,Y
LP000511,Male,No,0,Graduate,No,3818,5153,116,180,1.0,Urban,Y
LP000512,Male,Yes,0,Not Graduate,No,7039,4351,158,360,1.0,Rural,Y
LP000513,Female,Yes,2,Not Graduate,No,4971,2886,141,360,0.0,Urban,N
LP000514,Female,Yes,1,Graduate,No,5258,500,207,360,1.0,Semiurban,Y
LP000515,Male,Yes,2,Not Graduate,No,5601,1721,149,360,0.0,Semiurban,N
LP000516,Male,Yes,0,Graduate,No,5954,1543,103,180,1.0,Urban,Y
LP000517,Male,No,0,Graduate,No,5144,2329,199,360,1.0,Semiurban,Y
LP000518,Female,Yes,0,Graduate,No,5872,4121,133,180,1.0,Rural,Y
LP000519,Female,Yes,0,Graduate,No,8871,3207,173,360,1.0,Rural,Y
LP000520,Male,Yes,0,Graduate,Yes,7567,76,118,360,1.0,Semiurban,Y
LP000521,Male,No,2,Graduate,No,7312,4002,109,360,1.0,Semiurban,Y
LP000522,Male,Yes,0,Graduate,Yes,4397,2301,149,120,0.0,Urban,N
LP000523,Female,No,1,Graduate,No,3443,2899,145,180,1.0,Rural,Y
LP000524,Female,Yes,0,Graduate,No,7501,4146,171,360,0.0,Urban,N
LP000525,Female,Yes,0,Graduate,No,7327,21,130,360,1.0,Rural,Y
LP000526,Male,Yes,0,Graduate,No,8639,1742,44,360,0.0,Urban,N
LP000527,Male,No,3+,Graduate,No,4071,949,121,60,1.0,Rural,Y
LP000528,Male,Yes,2,Not Graduate,No,4894,0,188,180,0.0,Rural,N
LP000529,Male,No,3+,Graduate,No,1793,2354,128,360,0.0,Rural,N
LP000530,Female,Yes,0,Not Graduate,No,4536,5818,131,180,1.0,Urban,Y
LP000531,Female,Yes,0,Graduate,Yes,7592,0,199,360,1.0,Semiurban,Y
LP000532,Female,No,1,Graduate,No,4373,1748,105,60,1.0,Semiurban,Y
LP000533,Female,No,0,Graduate,No,6809,2824,60,360,1.0,Rural,Y
LP000534,Male,No,2,Graduate,No,4980,1996,136,180,0.0,Urban,N
LP000535,Male,No,0,Graduate,No,6112,1618,118,360,1.0,Rural,Y
LP000536,Female,No,0,Not Graduate,No,2875,0,91,180,1.0,Rural,N
LP000537,Female,No,0,Graduate,No,5587,2172,135,180,1.0,Urban,Y
LP000538,Male,No,0,Not Graduate,No,150,589,172,180,1.0,Rural,N
LP000539,Male,No,1,Not Graduate,Yes,4988,0,144,180,0.0,Semiurban,N
LP000540,Male,No,0,Not Graduate,No,1812,3711,161,120,1.0,Semiurban,Y
LP000541,Female,Yes,0,Not Graduate,No,8053,3333,244,360,1.0,Urban,Y
LP000542,Male,No,0,Graduate,No,7110,1882,126,360,1.0,Semiurban,Y
LP000543,Male,Yes,0,Graduate,No,6426,2166,160,360,1.0,Rural,Y
LP000544,Male,No,2,Graduate,No,8746,3518,116,60,1.0,Semiurban,Y
LP000545,Male,No,2,Graduate,No,3312,2158,98,360,1.0,Semiurban,Y
LP000546,Male,Yes,3+,Graduate,No,9244,3246,112,180,1.0,Semiurban,Y
LP000547,Male,No,2,Not Graduate,No,7450,1324,118,180,1.0,Rural,Y
LP000548,Male,Yes,0,Graduate,No,4879,3899,164,360,1.0,Urban,Y
LP000549,Male,Yes,1,Graduate,No,7898,2313,274,360,1.0,Rural,Y
LP000550,Male,No,0,Graduate,No,2966,2110,105,360,1.0,Semiurban,Y
LP000551,Male,Yes,0,Graduate,No,3586,0,122,360,1.0,Urban,Y
LP000552,Female,No,2,Graduate,Yes,4061,2259,141,360,1.0,Urban,Y
LP000553,Male,No,0,Not Graduate,No,4236,468,166,360,1.0,Semiurban,Y
LP000554,Male,Yes,3+,Graduate,Yes,3075,778,159,120,1.0,Rural,N
LP000555,Female,Yes,0,Graduate,No,8090,495,215,60,1.0,Semiurban,Y
LP000556,Male,Yes,1,Graduate,No,4830,94,11,360,0.0,Rural,N
LP000557,Male,Yes,1,Graduate,No,6175,5199,13,360,1.0,Urban,Y
LP000558,Male,No,2,Graduate,No,4145,3930,117,360,1.0,Semiurban,Y
LP000559,Male,Yes,1,Graduate,No,1394,4872,205,180,1.0,Rural,Y
LP000560,Male,Yes,1,Graduate,No,5994,0,58,120,1.0,Rural,Y
LP000561,Male,Yes,0,Graduate,No,1193,1914,9,360,1.0,Urban,Y
LP000562,Male,Yes,1,Graduate,No,5249,0,176,360,1.0,Semiurban,Y
LP000563,Male,No,0,Graduate,Yes,2389,686,158,180,1.0,Urban,Y
LP000564,Male,Yes,1,Graduate,No,9772,330,85,180,1.0,Semiurban,Y
LP000565,Male,No,1,Graduate,No,7404,3783,90,360,1.0,Rural,Y
LP000566,Male,Yes,1,Graduate,No,5632,1166,91,180,1.0,Rural,Y
LP000567,Male,No,0,Not Graduate,No,8180,3509,151,360,1.0,Urban,Y
LP000568,Male,Yes,0,Graduate,No,3538,2766,110,360,1.0,Rural,Y
LP000569,Female,Yes,1,Graduate,Yes,6595,5485,172,180,1.0,Semiurban,Y
LP000570,Male,No,0,Graduate,No,5839,0,9,120,0.0,Semiurban,N
LP000571,Male,Yes,0,Graduate,No,5980,3814,97,360,1.0,Semiurban,Y
LP000572,Male,No,0,Graduate,No,8199,3634,83,120,1.0,Semiurban,Y
LP000573,Male,No,3+,Graduate,No,7011,242,130,360,0.0,Semiurban,N
LP000574,Male,Yes,1,Not Graduate,No,6035,3411,115,180,1.0,Semiurban,Y
LP000575,Female,Yes,0,Graduate,No,1759,2337,188,360,1.0,Semiurban,Y
LP000576,Female,No,0,Graduate,No,3287,1436,42,120,1.0,Urban,Y
LP000577,Male,Yes,0,Graduate,No,5130,481,147,120,0.0,Rural,N
LP000578,Female,Yes,2,Graduate,Yes,5605,649,175,360,0.0,Semiurban,N
LP000579,Male,Yes,1,Graduate,No,2913,5079,247,120,1.0,Urban,Y
LP000580,Male,Yes,0,Graduate,No,10705,1801,118,120,1.0,Rural,Y
LP000581,Male,Yes,0,Not Graduate,No,8736,3051,162,180,1.0,Rural,Y
LP000582,Female,No,0,Graduate,No,6724,534,45,360,1.0,Rural,Y
LP000583,Male,No,1,Graduate,Yes,5558,552,13,120,1.0,Semiurban,Y
LP000584,Male,No,2,Not Graduate,No,4933,3531,191,120,1.0,Urban,Y
LP000585,Male,No,0,Graduate,No,3305,0,144,360,1.0,Semiurban,Y
LP000586,Male,Yes,0,Not Graduate,No,5570,1135,209,60,1.0,Urban,Y
LP000587,Male,No,0,Graduate,Yes,5967,1854,69,360,1.0,Rural,Y
LP000588,Male,Yes,3+,Not Graduate,No,2668,1978,173,360,1.0,Urban,N
LP000589,Male,Yes,0,Graduate,No,6135,1513,247,360,1.0,Urban,Y
LP000590,Male,Yes,2,Not Graduate,No,5058,2433,168,180,0.0,Semiurban,N
LP000591,Male,Yes,1,Not Graduate,No,1202,2908,160,180,1.0,Semiurban,Y
LP000592,Male,No,0,Graduate,No,3507,2975,145,360,1.0,Rural,Y
LP000593,Male,No,0,Not Graduate,No,4490,222,58,60,1.0,Semiurban,Y
LP000594,Male,Yes,0,Graduate,No,9552,1345,219,360,1.0,Urban,Y
LP000595,Female,Yes,1,Graduate,No,6624,3711,111,360,0.0,Urban,N
LP000596,Male,No,2,Graduate,No,2461,3231,172,360,1.0,Semiurban,Y
LP000597,Male,Yes,1,Graduate,No,6469,0,59,180,1.0,Urban,Y
LP000598,Male,Yes,1,Graduate,No,1995,2362,80,120,1.0,Semiurban,Y
LP000599,Male,Yes,0,Graduate,No,7781,0,223,180,1.0,Semiurban,Y
LP000600,Male,No,3+,Graduate,No,4363,1875,125,120,1.0,Rural,Y
LP000601,Male,No,2,Not Graduate,No,5194,4836,224,360,1.0,Rural,Y
LP000602,Male,Yes,0,Not Graduate,Yes,8316,283,140,360,1.0,Rural,Y
LP000603,Male,Yes,3+,Graduate,Yes,2568,465,43,360,1.0,Rural,N
LP000604,Male,No,1,Graduate,No,2326,3022,194,360,1.0,Urban,Y
LP000605,Male,No,1,Graduate,No,4116,0,112,360,0.0,Urban,N
LP000606,Male,Yes,1,Graduate,Yes,7684,787,183,180,1.0,Urban,Y
LP000607,Male,No,2,Graduate,No,2057,2754,146,360,0.0,Rural,N
LP000608,Male,Yes,1,Graduate,No,150,785,60,180,1.0,Rural,N
LP000609,Male,Yes,0,Graduate,No,4407,1422,154,360,1.0,Rural,Y
LP000610,Male,No,0,Not Graduate,No,6613,2990,265,360,1.0,Urban,Y
LP000611,Male,Yes,3+,Graduate,Yes,8040,2474,172,180,1.0,Rural,Y
LP000612,Male,Yes,0,Graduate,No,4381,2226,141,360,1.0,Semiurban,Y
LP000613,Male,Yes,0,Graduate,No,4494,1257,204,120,1.0,Urban,Y
LP000614,Male,Yes,0,Graduate,No,7938,2392,156,180,1.0,Semiurban,Y
